state,type,severity,description,mechanism
Maine,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - 1 M.R.S. § 401: Definitions and legislative intent
  - 1 M.R.S. § 408: Public access rights and timelines
  - 1 M.R.S. § 409: Fee provisions
  - 1 M.R.S. § 405: Exemptions from disclosure

### **2025 Legislative Focus**
- **DHHS Issues**: GOP lawmakers investigating Department of Health and Human Services FOAA response problems
- **Timeline Concerns**: Legislative attention to lengthy response times
- **Fee Issues**: Scrutiny of high fees charged by agencies
- **Transparency Push**: Enhanced"
Maine,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - 1 M.R.S. § 408: Public access rights and timelines
  - 1 M.R.S. § 409: Fee provisions
  - 1 M.R.S. § 405: Exemptions from disclosure

### **2025 Legislative Focus**
- **DHHS Issues**: GOP lawmakers investigating Department of Health and Human Services FOAA response problems
- **Timeline Concerns**: Legislative attention to lengthy response times
- **Fee Issues**: Scrutiny of high fees charged by agencies
- **Transparency Push**: Enhanced oversight of agency compliance

### Definitions
- **Pu"
Maine,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Maryland,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"**Available Relief:**
- **Mandamus**: Court order requiring disclosure
- **Declaratory Judgment**: Clarification of MPIA obligations
- **Injunctive Relief**: Ongoing compliance orders
- **Attorney Fees**: Successful plaintiffs may recover reasonable fees

**Strategic Considerations:**
- Exhaust administrative appeal first for stronger court position
- Document pattern of non-compliance or bad faith
- Preserve evidence of public interest in disclosure
- Consider media attention to pressure compli"
Maryland,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - SG § 10-613: Public access rights
  - SG § 10-614: Response timeline requirements
  - SG § 10-621: Fee provisions
  - SG § 10-615 through 10-619: Exemptions

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any documentary material prepared by or for a public body
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official designated to maintain and provide access"
Maryland,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Maryland,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - SG § 10-614: Response timeline requirements
  - SG § 10-621: Fee provisions
  - SG § 10-615 through 10-619: Exemptions

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any documentary material prepared by or for a public body
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official designated to maintain and provide access to records

---
"
Maryland,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Massachusetts,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"**VERIFICATION DATE**: September 18, 2025  
**VERIFICATION SOURCE**: Dual-source validation using MGL Ch. 66 and SJC decisions  
**LAST STATUTORY UPDATE**: 2023 (Chapter 107 - electronic records and fee limitations)

---

## Legal Framework

### Primary Statute
- **Massachusetts Public Records Law**: Massachusetts General Laws Chapter 66, Sections 10, 10A, and 10B
- **Original Enactment**: 1973
- **Major Reform**: 2016 (comprehensive overhaul)"
Massachusetts,Programming Time Charges,MEDIUM,Allows charging for technical work with subjective billing,Can inflate costs by claiming simple requests require programming
Massachusetts,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Massachusetts,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"**Within 10 Business Days:**
- Provide records in whole or in part
- Deny request with specific exemption citations
- Provide written response indicating need for extension

### Extension Criteria (MGL Ch. 66, § 10(a))
- Need to search for records at multiple locations
- Need to review voluminous number of records
- Need to consult with legal counsel
- Technical difficulties preventing electronic production

---"
Michigan,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"- **Extension**: Additional 10 business days with written justification
- **Complex Requests**: Extended timeline with detailed explanation
- **Fees Over $50**: Additional time for fee calculation and approval

### Extension Criteria (MCL 15.235(2))
- **Voluminous Records**: Large number of documents to review
- **Separate Locations**: Records stored at multiple facilities
- **Consultation Required**: Need to contact other agencies or parties
- **Detailed Exemption Review**: Complex legal analys"
Michigan,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Michigan,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"- **Governor's Office**: Executive office communications and records
- **Implementation Timeline**: Phased approach through 2025-2026
- **Limited Exemptions**: Certain legislative privilege and executive communications

---

## Response Timelines

### Standard Response Timeline (MCL 15.235)
- **Initial Response**: 5 business days from receipt
- **Extension**: Additional 10 business days with written justification
- **Complex Requests**: Extended timeline with detailed explanation"
Minnesota,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"- **Mandamus**: Court order requiring data access
- **Injunctive Relief**: Ongoing compliance orders
- **Declaratory Judgment**: Clarification of data classification
- **Attorney Fees**: Possible recovery in successful actions

**Strategic Considerations:**
- **Document Interactions**: Preserve all communications with agency
- **Public Interest**: Articulate community benefit from access
- **Classification Challenge**: Focus on proper statutory interpretation
- **Exhaustion**: Complete administr"
Minnesota,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"---

## Fee Structure

### Allowable Fees (Minn. Stat. § 13.03, subd. 3)
- **Actual Costs Only**: Limited to actual cost of providing data copies
- **No Search Fees**: Cannot charge for time spent locating data
- **Reasonable Copying**: Paper, electronic media, staff time for duplication
- **Statutory Limits**: Fees must be reasonable and justified

### Fee Components
- **Paper Copies**: Typically $0.25-$1.00 per page"
Minnesota,Programming Time Charges,MEDIUM,Allows charging for technical work with subjective billing,Can inflate costs by claiming simple requests require programming
Minnesota,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Minnesota,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"- **Programming**: Electronic format conversion (actual costs)

### Fee Exemptions and Limitations
- **Inspection**: Free on-site review of public data
- **100-Page Rule**: First 100 pages free in many jurisdictions
- **Public Interest**: Some agencies waive fees for public benefit requests
- **Advance Estimates**: Must provide cost estimate for requests over $25

---

## Data Classification System
"
Minnesota,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Promptly (vague)
Mississippi,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"**Internal Process:**
- Discuss concerns with custodian or agency head
- Request clarification of exemption claims
- Negotiate scope or format to reduce costs
- Seek informal resolution before litigation

**Documentation:**
- Preserve all communications with agency
- Document any improper fee charges or deadline violations
- Maintain evidence of public interest in disclosure
- Note violation of 7-working-day mandate
"
Mississippi,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - Miss. Code § 25-61-3: Definitions and legislative intent
  - Miss. Code § 25-61-5: Public access rights and timelines
  - Miss. Code § 25-61-7: Fee provisions
  - Miss. Code § 25-61-9: Exemptions and confidentiality
  - Miss. Code § 25-61-15: Enforcement and attorney fees

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any documentary material prepared or maintained by a public body
- **Working D"
Mississippi,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - Miss. Code § 25-61-5: Public access rights and timelines
  - Miss. Code § 25-61-7: Fee provisions
  - Miss. Code § 25-61-9: Exemptions and confidentiality
  - Miss. Code § 25-61-15: Enforcement and attorney fees

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any documentary material prepared or maintained by a public body
- **Working Days**: Monday through Friday, excluding state holidays
- **Cu"
Mississippi,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Missouri,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"**Internal Process:**
- Discuss concerns with custodian or agency head
- Request clarification of exemption claims
- Negotiate scope or format to reduce costs
- Seek informal resolution before litigation

**Documentation:**
- Preserve all communications with agency
- Document any improper fee charges
- Maintain evidence of public interest in disclosure
- Note any pattern of non-compliance
"
Missouri,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - RSMo § 610.021: Public access rights
  - RSMo § 610.023: Response timeline requirements
  - RSMo § 610.026: Fee provisions
  - RSMo § 610.027: Enforcement and attorney fees

### Definitions
- **Public Governmental Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any record maintained by a public governmental body
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official designated to main"
Missouri,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Missouri,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"- **Response Options**:
  1. Provide requested records
  2. Deny request with written explanation citing specific exemption
  3. Provide written statement explaining when and how records will be made available

### Extension Provisions
- **Complex Requests**: If records not immediately available, must provide written statement
- **Required Information**: Statement must explain when and how records will be made available
- **Ongoing Communication**: Must keep requester informed of status
- **Exam"
Missouri,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Montana,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - MCA § 2-6-101: Definitions and legislative intent
  - MCA § 2-6-102: Public access rights and timelines
  - MCA § 2-6-105: Fee provisions
  - MCA § 2-6-111: Exemptions from disclosure

### Definitions
- **Public Agency**: All state and local government agencies, including boards, commissions, and authorities
- **Public Information**: Information in any form prepared or owned by a public agency
- **Working Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official desig"
Montana,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - MCA § 2-6-102: Public access rights and timelines
  - MCA § 2-6-105: Fee provisions
  - MCA § 2-6-111: Exemptions from disclosure

### Definitions
- **Public Agency**: All state and local government agencies, including boards, commissions, and authorities
- **Public Information**: Information in any form prepared or owned by a public agency
- **Working Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official designated to maintain and provide access to records

---
"
Montana,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Nebraska,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - Neb. Rev. Stat. § 84-712: Definitions and legislative intent
  - Neb. Rev. Stat. § 84-712.01: Public access rights and timelines
  - Neb. Rev. Stat. § 84-712.02: Fee provisions
  - Neb. Rev. Stat. § 84-712.05: Exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any recorded information prepared or owned by a public body
- **Business Days**: Monday through Friday, excluding "
Nebraska,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - Neb. Rev. Stat. § 84-712.01: Public access rights and timelines
  - Neb. Rev. Stat. § 84-712.02: Fee provisions
  - Neb. Rev. Stat. § 84-712.05: Exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any recorded information prepared or owned by a public body
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official designated to maintain a"
Nebraska,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Nevada,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"**Internal Process:**
- Discuss concerns with custodian or agency head
- Request clarification of exemption claims or timeline
- Negotiate scope or format to reduce costs
- Seek informal resolution before litigation

**Documentation:**
- Preserve all communications with agency
- Document any improper fee charges or unreasonable delays
- Maintain evidence of public interest in disclosure
- Note any pattern of non-compliance
"
Nevada,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - NRS 239.0105: Public access rights
  - NRS 239.011: Response timeline requirements
  - NRS 239.052: Fee provisions
  - NRS 239.010: Exemptions and confidentiality

### Supporting Regulations
- **Nevada Administrative Code (NAC) 239.926**: Records retention schedules
- **NAC 239**: Administrative rules for records management
- **Local Ordinances**: Municipal and county implementation rules

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissio"
Nevada,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Nevada,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - NRS 239.011: Response timeline requirements
  - NRS 239.052: Fee provisions
  - NRS 239.010: Exemptions and confidentiality

### Supporting Regulations
- **Nevada Administrative Code (NAC) 239.926**: Records retention schedules
- **NAC 239**: Administrative rules for records management
- **Local Ordinances**: Municipal and county implementation rules

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**"
Nevada,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
New,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - RSA 91-A:1: Definitions and legislative intent
  - RSA 91-A:4: Public access rights and timelines
  - RSA 91-A:4-c: Fee provisions
  - RSA 91-A:5: Exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any information in any physical form prepared or owned by a public body
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official designated"
New,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - RSA 91-A:4: Public access rights and timelines
  - RSA 91-A:4-c: Fee provisions
  - RSA 91-A:5: Exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any information in any physical form prepared or owned by a public body
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official designated to maintain and provide access to records

---
"
New,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
New,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"- **Letter**: Traditional written request
- **Email**: Electronic submission accepted
- **Requirement**: Must include all necessary information without excessive clarification burden

**Required Elements**:
- Specific description of requested records
- Contact information for response
- Preferred format (electronic encouraged)
- Fee limitation if applicable

### Phase 2: Agency Response (2024 PROCEDURES)
**7-Day Response Window**:"
New,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"---

## Fee Structure (2024 REFORMS)

### Photocopy Fees (Confirmed Current)
- **First 10 pages**: $0.75 per page
- **Next 10 pages**: $0.50 per page
- **Additional pages**: $0.25 per page
- **Electronic Records**: Actual cost for electronic media

### Special Service Charges
- **Definition**: Complex searches, programming, or special formatting"
New,Programming Time Charges,MEDIUM,Allows charging for technical work with subjective billing,Can inflate costs by claiming simple requests require programming
New,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"
**Denial Requirements**:
- Must cite specific exemption
- Must be in writing with legal justification
- Must provide information about appeal rights

### Phase 4: Fee Assessment and Payment
**New Fee Framework (2024)**:
- **Estimate Provided**: For any charges beyond standard copying
- **Payment Terms**: May require prepayment for extensive work
- **Website Alternative**: May reduce or eliminate fees through online access
"
New,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
New,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"---

## Fee Structure

### Allowable Fees (POL § 87(1))
- **Photocopying**: $0.25 per page maximum
- **Certified Copies**: Reasonable certification fees
- **Electronic Media**: Actual cost of storage medium
- **Postage**: Actual mailing costs if requester requests mailing

### Prohibited Charges
- **Search Time**: Cannot charge for time to locate records"
New,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
New,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"- **No Constitutional Right**: FOIL is statutory, not constitutional
- **Legislative Intent**: Promote government transparency and accountability
- **Narrow Construction**: Exemptions strictly construed

---

## Response Timelines

### Standard Timeline (POL § 89(3))
- **Initial Response**: 5 business days from receipt
- **Production Deadline**: ""Reasonable time"" after determination to release
- **Extension**: ""Reasonable"" additional time for voluminous/complex requests"
New,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Promptly (vague)
North,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"- Accept request during normal business hours
- No specific form required
- May ask for clarification of request
- Begin search process immediately

### Phase 2: Processing
**Agency Actions:**
- Locate responsive records across relevant departments
- Review for exemptions and redactions
- Calculate duplication costs if copies requested
- Determine if records exist in requested format
"
North,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - NCGS § 132-1: Definitions and public policy
  - NCGS § 132-6: Inspection and copying procedures
  - NCGS § 132-6.2: Fee provisions
  - NCGS § 132-1.4A: Law enforcement recordings (2016)

### Definitions
- **Public Record**: Any document, paper, letter, map, book, photograph, film, sound recording, magnetic or other tape, electronic data-processing record, or other documentary material regardless of physical form or characteristics
- **Public Agency**: All state and local government entities
"
North,Programming Time Charges,MEDIUM,Allows charging for technical work with subjective billing,Can inflate costs by claiming simple requests require programming
North,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
North,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"**Agency Actions:**
- Locate responsive records across relevant departments
- Review for exemptions and redactions
- Calculate duplication costs if copies requested
- Determine if records exist in requested format

**Timeline Management:**
- Begin processing ""as promptly as possible""
- Communicate with requester about delays
- Provide realistic timeline estimates

### Phase 3: Initial Response"
North,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Promptly (vague)
North,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - N.D.C.C. § 44-04-18: Definitions and legislative intent
  - N.D.C.C. § 44-04-18.1: Public access rights and timelines
  - N.D.C.C. § 44-04-18.7: Fee provisions
  - N.D.C.C. § 44-04-18.1 through 44-04-18.27: Exemptions from disclosure

### Definitions
- **Public Entity**: All state and local government agencies, including boards, commissions, and authorities
- **Record**: Information in any physical form prepared or owned by a public entity
- **Business Days**: Monday through Friday, excludin"
North,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - N.D.C.C. § 44-04-18.1: Public access rights and timelines
  - N.D.C.C. § 44-04-18.7: Fee provisions
  - N.D.C.C. § 44-04-18.1 through 44-04-18.27: Exemptions from disclosure

### Definitions
- **Public Entity**: All state and local government agencies, including boards, commissions, and authorities
- **Record**: Information in any physical form prepared or owned by a public entity
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official designated to mai"
North,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Ohio,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"---

## Fee Structure

### Allowable Charges (ORC 149.43(B)(7))
- **Copying Costs**: Actual cost of making copies
- **Postage**: Actual cost of mailing records
- **Electronic Media**: Cost of storage devices (CD, DVD, flash drive)
- **No Search Fees**: Cannot charge for time to locate records

### Standard Fee Rates
- **Paper Copies**: $0.05-0.10 per page (varies by agency)"
Ohio,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Ohio,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"- Copies upon payment of fees
- Electronic format when reasonably available
- Redactions with specific exemption citations

**Denial Requirements:**
- Must cite specific statutory exemption
- Explain factual basis for denial
- Inform of appeal/enforcement options

### Phase 4: Pre-Litigation Process (NEW 2024) ⚠️
**Mandatory Before Any Lawsuit:**
1. **Written Notice**: Send formal notice to public office"
Oklahoma,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"**Internal Process:**
- Discuss concerns with custodian or agency head
- Request clarification of exemption claims
- Negotiate scope to reduce copying costs
- Seek informal resolution before litigation

### Phase 5: Judicial Enforcement
**District Court Action:**
- **Venue**: Oklahoma district court where public body is located
- **Authority**: Court may order compliance with Open Records Act
- **Standard**: Review of agency decision and application of exemptions
- **Relief**: Mandamus, injuncti"
Oklahoma,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - Title 51 § 24A.1: Definitions and legislative intent
  - Title 51 § 24A.5: Public access rights and timelines
  - Title 51 § 24A.8: Fee provisions
  - Title 51 § 24A.17: Exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any record prepared or maintained by a public body
- **Prompt Response**: Timely response within reasonable period (typically 3-5 business days)
- **Custo"
Oklahoma,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - Title 51 § 24A.5: Public access rights and timelines
  - Title 51 § 24A.8: Fee provisions
  - Title 51 § 24A.17: Exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any record prepared or maintained by a public body
- **Prompt Response**: Timely response within reasonable period (typically 3-5 business days)
- **Custodian**: Official designated to maintain and provide acces"
Oklahoma,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Promptly (vague)
Oregon,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"**Available Relief:**
- **Mandamus**: Court order requiring disclosure within reasonable time
- **Declaratory Judgment**: Clarification of reasonable timeline requirements
- **Injunctive Relief**: Ongoing compliance orders
- **Attorney Fees**: Recovery of reasonable fees for successful enforcement

---

## Strategic Recommendations

### For Effective Oregon Public Records Practice
1. **Timeline Negotiation**: Work with agency to establish reasonable timeline upfront"
Oregon,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - ORS 192.311: Definitions and legislative intent
  - ORS 192.324: Public access rights and timelines
  - ORS 192.440: Fee provisions
  - ORS 192.345: Exemptions from disclosure

### **2025 Updates**
- **Portland Rules**: Updated public records rules effective January 2025
- **Fee Notification**: Enhanced requirements for fee disclosure over $25
- **Transparency Initiatives**: Counties implementing new transparency policies

### Definitions
- **Public Body**: All state and local government age"
Oregon,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - ORS 192.324: Public access rights and timelines
  - ORS 192.440: Fee provisions
  - ORS 192.345: Exemptions from disclosure

### **2025 Updates**
- **Portland Rules**: Updated public records rules effective January 2025
- **Fee Notification**: Enhanced requirements for fee disclosure over $25
- **Transparency Initiatives**: Counties implementing new transparency policies

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authoritie"
Oregon,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Pennsylvania,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"- **Body Camera Footage**: New provisions for video recordings
- **Victim Privacy**: Enhanced protections for crime victims
- **Timeline Clarifications**: Technical amendments to response deadlines

### OOR Precedent Evolution
- **Electronic Records**: Email, text messages, social media
- **Search Requirements**: Adequacy of record searches
- **Exemption Analysis**: More rigorous segregability requirements
- **Fee Determinations**: Stricter limits on allowable charges

### Technology Integration"
Pennsylvania,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"---

## Fee Structure

### Allowable Fees (65 Pa.C.S. § 67.1307)
- **Duplication**: Actual cost of photocopying/printing
- **Postage**: Actual cost of mailing
- **Electronic Media**: Cost of disk, drive, or other medium
- **Specialized Documents**: Actual cost for non-standard formats

### Fee Schedule
- **Paper Copies**: $0.25 per page for letter/legal size"
Pennsylvania,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
Pennsylvania,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"**VERIFICATION DATE**: September 18, 2025  
**VERIFICATION SOURCE**: Dual-source validation using 65 Pa.C.S. and OOR decisions  
**LAST STATUTORY UPDATE**: 2023 (Act 65 - law enforcement exemption modifications)

---

## Legal Framework

### Primary Statute
- **Right-to-Know Law (RTKL)**: 65 Pa.C.S. §§ 67.101 et seq.
- **Effective Date**: January 1, 2009 (replaced prior Right-to-Know Act)
- **Major Amendments**: 2023 (Act 65 - law enforcement records)"
Rhode,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - R.I. Gen. Laws § 38-2-1: Definitions and legislative intent
  - R.I. Gen. Laws § 38-2-3: Public access rights and timelines
  - R.I. Gen. Laws § 38-2-4: Fee provisions
  - R.I. Gen. Laws § 38-2-2: Exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any documentary material prepared or owned by a public body
- **Business Days**: Monday through Friday, excluding state holiday"
Rhode,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - R.I. Gen. Laws § 38-2-3: Public access rights and timelines
  - R.I. Gen. Laws § 38-2-4: Fee provisions
  - R.I. Gen. Laws § 38-2-2: Exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any documentary material prepared or owned by a public body
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official designated to maintain and provide a"
Rhode,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
South,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"- **Injunctive Relief**: Ongoing compliance orders
- **Attorney Fees**: Court may award fees and costs to prevailing party
- **Declaratory Judgment**: Clarification of FOIA obligations

---

## Classification System and Exemptions

### General Exemptions (S.C. Code § 30-4-40(a))
**Personal Privacy**: Information constituting unreasonable invasion of personal privacy
**Law Enforcement**: Active investigatory records and confidential sources
**Trade Secrets**: Proprietary business information and "
South,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - S.C. Code § 30-4-30: Response timeline requirements
  - S.C. Code § 30-4-40: Exemptions from disclosure
  - S.C. Code § 30-4-60: Fees and costs

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: All documentary material prepared by or received by a public body
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official designated to maintain and provide access to r"
South,Vague Request Rejection,HIGH,Agencies can reject requests as too broad or vague,Subjective interpretation allows denial of valid requests
South,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - S.C. Code § 30-4-15: Public access rights
  - S.C. Code § 30-4-30: Response timeline requirements
  - S.C. Code § 30-4-40: Exemptions from disclosure
  - S.C. Code § 30-4-60: Fees and costs

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: All documentary material prepared by or received by a public body
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official "
South,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
South,Fee Barriers,MEDIUM,Fee structure can be weaponized to deter requests,"  - SDCL § 1-27-1: Definitions and legislative intent
  - SDCL § 1-27-1.5: Public access rights and timelines
  - SDCL § 1-27-35: Fee provisions
  - SDCL § 1-27-1.1 through 1-27-34: Exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any file, document, or item regardless of storage medium, prepared or owned by a public body
- **Business Days**: Monday through Friday, excluding"
South,Exemption Abuse,HIGH,Broad exemptions can be misapplied to withhold records,"  - SDCL § 1-27-1.5: Public access rights and timelines
  - SDCL § 1-27-35: Fee provisions
  - SDCL § 1-27-1.1 through 1-27-34: Exemptions from disclosure

### Definitions
- **Public Body**: All state and local government agencies, including boards, commissions, and authorities
- **Public Record**: Any file, document, or item regardless of storage medium, prepared or owned by a public body
- **Business Days**: Monday through Friday, excluding state holidays
- **Custodian**: Official designated t"
South,Vague Timeline,MEDIUM,Response deadline is subjective rather than fixed,Deadline defined as: Reasonable time (vague)
Tennessee,Clarification Pause,HIGH,Statute allows agencies to pause deadlines by claiming requests are unclear,"- Accept requests during business hours
- No specific form required (written preferred)
- May ask for clarification of request
- Begin processing promptly

### Phase 2: Processing
**Agency Actions:**
- Locate responsive records
- Review for required redactions under TCA § 10-7-504
- Remove protected personal information
- Calculate duplication fees if copies requested
"
